,0
0,-0.7833717
1,-0.96300745
2,-0.9688968
3,-0.97602296
4,-0.97873473
5,-0.9796696
6,-0.9808344
7,-0.9818867
8,-0.9824417
9,-0.9829697
10,-0.9837132
11,-0.98400736
12,-0.98412645
13,-0.9842338
14,-0.9842504
15,-0.98399186
16,-0.9837323
17,-0.983969
18,-0.9840528
19,-0.9838512
20,-0.98336285
21,-0.9827442
22,-0.9821754
23,-0.9821847
24,-0.982224
25,-0.98167306
26,-0.98148614
27,-0.98109347
28,-0.9805177
29,-0.97851837
30,-0.9780221
31,-0.977346
32,-0.9780942
33,-0.9795222
34,-0.978544
35,-0.9783163
36,-0.9774974
37,-0.9782974
38,-0.97962326
39,-0.9792239
40,-0.97753245
41,-0.9796921
42,-0.97988343
43,-0.9787886
44,-0.977838
45,-0.97731274
46,-0.9766646
47,-0.9783004
48,-0.97621906
49,-0.9751947
50,-0.9740243
51,-0.9779141
52,-0.97747296
53,-0.9798542
54,-0.9801302
55,-0.9795667
56,-0.98154914
57,-0.9824261
58,-0.9824362
59,-0.98438793
60,-0.9847258
61,-0.9846014
62,-0.9850299
63,-0.9859204
64,-0.9864156
65,-0.98587817
66,-0.9855504
67,-0.9869471
68,-0.9893127
69,-0.9880632
70,-0.9877518
71,-0.988609
72,-0.98817813
73,-0.9876614
74,-0.9886577
75,-0.99008316
76,-0.9887469
77,-0.9893125
78,-0.9893592
79,-0.9902659
80,-0.99116594
81,-0.9907426
82,-0.9904666
83,-0.9912117
84,-0.9903423
85,-0.992196
86,-0.991607
87,-0.99079645
88,-0.99126065
89,-0.9916867
90,-0.9897183
91,-0.99015445
92,-0.9898169
93,-0.9904831
94,-0.99193317
95,-0.991047
96,-0.99239933
97,-0.9899798
98,-0.9909993
99,-0.99099797
100,-0.99217
101,-0.99198586
102,-0.99116784
103,-0.98992515
104,-0.98882127
105,-0.9850089
106,-0.9869344
107,-0.9866251
108,-0.9889851
109,-0.9912745
110,-0.9924656
111,-0.9909786
112,-0.99063057
113,-0.9926541
114,-0.9909165
115,-0.9909177
116,-0.9916299
117,-0.9911703
118,-0.99214846
119,-0.9929892
120,-0.9929221
121,-0.99363285
122,-0.992171
123,-0.9919397
124,-0.99183047
125,-0.99249166
126,-0.9925868
127,-0.99312025
128,-0.9946353
129,-0.9938227
130,-0.993882
131,-0.993699
132,-0.99504083
133,-0.99210894
134,-0.99077463
135,-0.99013156
136,-0.99076587
137,-0.994039
138,-0.99260294
139,-0.99244046
140,-0.9934679
141,-0.99395216
142,-0.9918246
143,-0.99160343
144,-0.994283
145,-0.9950811
146,-0.9938394
147,-0.99244994
148,-0.99363047
149,-0.9935518
150,-0.9923119
151,-0.99523395
152,-0.9944781
153,-0.9950174
154,-0.9922739
155,-0.9935353
156,-0.99585134
157,-0.99550545
158,-0.9934861
159,-0.9929755
160,-0.99275565
161,-0.9944904
162,-0.99360317
163,-0.9950394
164,-0.99614644
165,-0.9938554
166,-0.9942199
167,-0.99302226
168,-0.99261725
169,-0.9929622
170,-0.9935145
171,-0.99554443
172,-0.9935708
173,-0.9924689
174,-0.9931695
175,-0.991026
176,-0.9931771
177,-0.99445903
178,-0.99398154
179,-0.9935147
180,-0.991713
181,-0.9931573
182,-0.99303454
183,-0.99273455
184,-0.99544656
185,-0.99272317
186,-0.99249226
187,-0.99370825
188,-0.9944275
189,-0.99394906
190,-0.9932129
191,-0.9917633
192,-0.9930797
193,-0.99469125
194,-0.9937485
195,-0.9936265
196,-0.99185336
197,-0.99314785
198,-0.9943882
199,-0.99448174
